"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,60,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf",NA,150,856,"GasA","Ex","Y","SBrkr",856,854,NA,1710,1,NA,2,1,3,1,"Gd",8,"Typ",NA,NA,"Attchd",2003,"RFn",2,548,"TA","TA","Y",NA,61,NA,NA,NA,NA,NA,NA,NA,NA,2,2008,"WD","Normal",208500
2,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",NA,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",NA,284,1262,"GasA","Ex","Y","SBrkr",1262,NA,NA,1262,NA,1,2,NA,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2007,"WD","Normal",181500
3,60,"RL",68,11250,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",NA,434,920,"GasA","Ex","Y","SBrkr",920,866,NA,1786,1,NA,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",NA,42,NA,NA,NA,NA,NA,NA,NA,NA,9,2008,"WD","Normal",223500
4,70,"RL",60,9550,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",NA,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",NA,540,756,"GasA","Gd","Y","SBrkr",961,756,NA,1717,1,NA,1,NA,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",NA,35,272,NA,NA,NA,NA,NA,NA,NA,2,2006,"WD","Abnorml",140000
5,60,"RL",84,14260,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",NA,490,1145,"GasA","Ex","Y","SBrkr",1145,1053,NA,2198,1,NA,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,NA,NA,NA,NA,NA,NA,NA,NA,12,2008,"WD","Normal",250000
6,50,"RL",85,14115,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",NA,"TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf",NA,64,796,"GasA","Ex","Y","SBrkr",796,566,NA,1362,1,NA,1,1,1,1,"TA",5,"Typ",NA,NA,"Attchd",1993,"Unf",2,480,"TA","TA","Y",40,30,NA,320,NA,NA,NA,"MnPrv","Shed",700,10,2009,"WD","Normal",143000
7,20,"RL",75,10084,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",NA,317,1686,"GasA","Ex","Y","SBrkr",1694,NA,NA,1694,1,NA,2,NA,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,NA,NA,NA,NA,NA,NA,NA,NA,8,2007,"WD","Normal",307000
8,60,"RL",NA,10382,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ",32,216,1107,"GasA","Ex","Y","SBrkr",1107,983,NA,2090,1,NA,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,228,NA,NA,NA,NA,NA,"Shed",350,11,2009,"WD","Normal",200000
9,50,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",NA,"TA","TA","BrkTil","TA","TA","No","Unf",NA,"Unf",NA,952,952,"GasA","Gd","Y","FuseF",1022,752,NA,1774,NA,NA,2,NA,2,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,NA,205,NA,NA,NA,NA,NA,NA,NA,4,2008,"WD","Abnorml",129900
10,190,"RL",50,7420,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",NA,"TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf",NA,140,991,"GasA","Ex","Y","SBrkr",1077,NA,NA,1077,1,NA,1,NA,2,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,2008,"WD","Normal",118000
11,20,"RL",70,11200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",NA,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",NA,134,1040,"GasA","Ex","Y","SBrkr",1040,NA,NA,1040,1,NA,1,NA,3,1,"TA",5,"Typ",NA,NA,"Detchd",1965,"Unf",1,384,"TA","TA","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2008,"WD","Normal",129500
12,60,"RL",85,11924,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",NA,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,NA,2324,1,NA,3,NA,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,NA,NA,NA,NA,NA,NA,NA,NA,7,2006,"New","Partial",345000
13,20,"RL",NA,12968,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",NA,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",NA,175,912,"GasA","TA","Y","SBrkr",912,NA,NA,912,1,NA,1,NA,2,1,"TA",4,"Typ",NA,NA,"Detchd",1962,"Unf",1,352,"TA","TA","Y",140,NA,NA,NA,176,NA,NA,NA,NA,NA,9,2008,"WD","Normal",144000
14,20,"RL",91,10652,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",NA,"Unf",NA,1494,1494,"GasA","Ex","Y","SBrkr",1494,NA,NA,1494,NA,NA,2,NA,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,NA,NA,NA,NA,NA,NA,NA,NA,8,2007,"New","Partial",279500
15,20,"RL",NA,10920,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",NA,520,1253,"GasA","TA","Y","SBrkr",1253,NA,NA,1253,1,NA,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",NA,213,176,NA,NA,NA,NA,"GdWo",NA,NA,5,2008,"WD","Normal",157000
