"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","GrLivArea","FullBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,60,6,65,8450,"Pave","Reg","Lvl",1,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg",15,15,2,"Gd","TA","PConc",2,3,4,1,6,150,856,"GasA","Ex","Y",1,856,1710,2,3,1,2,8,1,2,2003,2,2,548,3,3,"Y",2,2008,4,"Normal",208500
2,20,6,80,9600,"Pave","Reg","Lvl",1,"FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg",9,9,4,"TA","TA","CBlock",2,3,1,2,6,284,1262,"GasA","Ex","Y",1,1262,1262,2,3,1,3,6,1,2,1976,2,2,460,3,3,"Y",5,2007,4,"Normal",181500
3,60,6,68,11250,"Pave","IR1","Lvl",1,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg",15,15,2,"Gd","TA","PConc",2,3,3,1,6,434,920,"GasA","Ex","Y",1,920,1786,2,3,1,2,6,1,2,2001,2,2,608,3,3,"Y",9,2008,4,"Normal",223500
4,70,6,60,9550,"Pave","IR1","Lvl",1,"Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg",16,11,4,"TA","TA","BrkTil",3,2,4,2,6,540,756,"GasA","Gd","Y",1,961,1717,1,3,1,2,7,1,6,1998,3,3,642,3,3,"Y",2,2006,4,"Abnorml",140000
5,60,6,84,14260,"Pave","IR1","Lvl",1,"FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg",15,15,2,"Gd","TA","PConc",2,3,2,1,6,490,1145,"GasA","Ex","Y",1,1145,2198,2,4,1,2,9,1,2,2000,2,3,836,3,3,"Y",12,2008,4,"Normal",250000
6,50,6,85,14115,"Pave","IR1","Lvl",1,"Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg",15,15,4,"TA","TA","Wood",2,3,4,1,6,64,796,"GasA","Ex","Y",1,796,1362,1,1,1,3,5,1,2,1993,3,2,480,3,3,"Y",10,2009,5,"Normal",143000
7,20,6,75,10084,"Pave","Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg",15,15,5,"Gd","TA","PConc",1,3,2,1,6,317,1686,"GasA","Ex","Y",1,1694,1694,2,3,1,2,7,1,2,2004,2,2,636,3,3,"Y",8,2007,5,"Normal",307000
8,60,6,80,10382,"Pave","IR1","Lvl",1,"Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg",7,7,5,"TA","TA","CBlock",2,3,3,2,3,216,1107,"GasA","Ex","Y",1,1107,2090,2,3,1,3,7,1,2,1973,2,2,484,3,3,"Y",11,2009,2,"Normal",200000
9,50,8,51,6120,"Pave","Reg","Lvl",1,"Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg",4,9,4,"TA","TA","BrkTil",3,3,4,6,6,952,952,"GasA","Gd","Y",3,1022,1774,2,2,2,3,8,2,6,1931,3,2,468,4,3,"Y",4,2008,4,"Abnorml",129900
10,190,6,50,7420,"Pave","Reg","Lvl",1,"Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg",9,9,4,"TA","TA","BrkTil",3,3,4,1,6,140,991,"GasA","Ex","Y",1,1077,1077,1,2,2,3,5,1,2,1939,2,1,205,2,3,"Y",1,2008,4,"Normal",118000
