"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,60,6,65,8450,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg",15,15,2,196,"Gd","TA","PConc",2,3,4,1,706,6,0,150,856,"GasA","Ex","Y",1,856,854,481,1710,1,0,2,1,3,1,2,8,1,0,6,2,2003,2,2,548,3,3,"Y",0,61,0,0,0,0,5,5,6,0,2,2008,4,"Normal",208500
2,20,6,80,9600,"Pave",1,"Reg","Lvl",1,"FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg",9,9,4,124,"TA","TA","CBlock",2,3,1,2,978,6,0,284,1262,"GasA","Ex","Y",1,1262,462,515,1262,0,1,2,0,3,1,3,6,1,1,3,2,1976,2,2,460,3,3,"Y",298,0,0,0,0,0,5,5,6,0,5,2007,4,"Normal",181500
3,60,6,68,11250,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg",15,15,2,162,"Gd","TA","PConc",2,3,3,1,486,6,0,434,920,"GasA","Ex","Y",1,920,866,392,1786,1,0,2,1,3,1,2,6,1,1,3,2,2001,2,2,608,3,3,"Y",0,42,0,0,0,0,5,5,6,0,9,2008,4,"Normal",223500
4,70,6,60,9550,"Pave",2,"IR1","Lvl",1,"Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg",16,11,4,298,"TA","TA","BrkTil",3,2,4,2,216,6,0,540,756,"GasA","Gd","Y",1,961,756,114,1717,1,0,1,0,3,1,2,7,1,1,2,6,1998,3,3,642,3,3,"Y",0,35,272,0,0,0,5,5,6,0,2,2006,4,"Abnorml",140000
5,60,6,84,14260,"Pave",1,"IR1","Lvl",1,"FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg",15,15,2,350,"Gd","TA","PConc",2,3,2,1,655,6,0,490,1145,"GasA","Ex","Y",1,1145,1053,481,2198,1,0,2,1,4,1,2,9,1,1,3,2,2000,2,3,836,3,3,"Y",192,84,0,0,0,0,5,5,6,0,12,2008,4,"Normal",250000
6,50,6,85,14115,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg",15,15,4,302,"TA","TA","Wood",2,3,4,1,732,6,0,64,796,"GasA","Ex","Y",1,796,566,572,1362,1,0,1,1,1,1,3,5,1,0,6,2,1993,3,2,480,3,3,"Y",40,30,0,320,0,0,5,2,4,700,10,2009,5,"Normal",143000
7,20,6,75,10084,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg",15,15,5,186,"Gd","TA","PConc",1,3,2,1,1369,6,0,317,1686,"GasA","Ex","Y",1,1694,677,114,1694,1,0,2,0,3,1,2,7,1,1,2,2,2004,2,2,636,3,3,"Y",255,57,0,0,0,0,5,5,6,0,8,2007,5,"Normal",307000
8,60,6,80,10382,"Pave",2,"IR1","Lvl",1,"Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg",7,7,5,240,"TA","TA","CBlock",2,3,3,2,859,3,32,216,1107,"GasA","Ex","Y",1,1107,983,371,2090,1,0,2,1,3,1,3,7,1,2,3,2,1973,2,2,484,3,3,"Y",235,204,228,0,0,0,5,5,4,350,11,2009,2,"Normal",200000
9,50,8,51,6120,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg",4,9,4,210,"TA","TA","BrkTil",3,3,4,6,712,6,0,952,952,"GasA","Gd","Y",3,1022,752,479,1774,0,0,2,0,2,2,3,8,2,2,3,6,1931,3,2,468,4,3,"Y",90,0,205,0,0,0,5,5,6,0,4,2008,4,"Abnorml",129900
10,190,6,50,7420,"Pave",1,"Reg","Lvl",1,"Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg",9,9,4,176,"TA","TA","BrkTil",3,3,4,1,851,6,0,140,991,"GasA","Ex","Y",1,1077,1070,481,1077,1,0,1,0,2,2,3,5,1,2,3,2,1939,2,1,205,2,3,"Y",0,4,0,0,0,0,5,5,6,0,1,2008,4,"Normal",118000
